Date,Open,High,Low,Close
2023-01-17,1916.405,1919.08,1903.94,1908.67
2023-01-18,1908.42,1925.83,1896.72,1904.34
2023-01-19,1904.18,1935.19,1901.03,1932.17
2023-01-20,1931.65,1937.47,1920.73,1927.27
2023-01-23,1926.11,1935.55,1911.65,1931.02
2023-01-24,1930.96,1942.54,1917.56,1937.3
2023-01-25,1937.12,1948.06,1920.18,1946.27
2023-01-26,1946.48,1949.16,1919.13,1929.18
2023-01-27,1928.5,1935.01,1917.13,1926.56
2023-01-30,1928.24,1934.48,1920.73,1923.22
2023-01-31,1923.09,1931.08,1901.04,1928.28
2023-02-01,1928.13,1954.41,1920.7,1950.18
2023-02-02,1951.3,1959.71,1911.41,1912.64
2023-02-03,1912.05,1918.61,1861.62,1864.85
2023-02-06,1864.87,1881.19,1860.3,1867.69
2023-02-07,1867.75,1884.23,1865.23,1873.72
2023-02-08,1874.04,1886.12,1869.7,1875.55
2023-02-09,1875.24,1890.16,1859,1861.7
2023-02-10,1862.93,1872,1852.86,1864.2
2023-02-13,1864.7,1866.46,1850.56,1853.45
2023-02-14,1853.82,1869.95,1843.63,1854.46
2023-02-15,1854.08,1860.01,1830.67,1835.91
2023-02-16,1836.44,1845.34,1827.67,1836.5
2023-02-17,1836.51,1843.69,1818.98,1841.93
2023-02-20,1841.01,1847.58,1837.36,1841.295
2023-02-21,1841.9,1843.91,1830.29,1835.01
2023-02-22,1834.88,1845.98,1823.67,1825.26
2023-02-23,1826.05,1833.7,1818.02,1822.37
2023-02-24,1822.69,1827.87,1809,1810.98
2023-02-27,1811.13,1820.14,1806.86,1817.31
2023-02-28,1817.24,1831.21,1805.1,1826.8
2023-03-01,1826.9,1844.31,1823.12,1836.705
2023-03-02,1837.31,1838.84,1830.08,1835.75
2023-03-03,1836.21,1856.33,1835.75,1855.24
2023-03-06,1854.95,1858.31,1845.24,1846.76
2023-03-07,1846.465,1851.64,1812.85,1813.23
2023-03-08,1814.27,1824.29,1809.6,1813.82
2023-03-09,1814.29,1835.41,1812.05,1830.86
2023-03-10,1831.54,1870.01,1827.81,1869.9
2023-03-13,1884.295,1914.66,1871.6,1910.27
2023-03-14,1910.19,1914.18,1895.5,1904.27
2023-03-15,1904.32,1937.35,1885.78,1920.35
2023-03-16,1920.46,1933.37,1907.54,1920.02
2023-03-17,1920.15,1989.33,1918.54,1989.33
2023-03-20,1977.45,2009.6,1965.94,1978.36
2023-03-21,1978.36,1985.15,1935.51,1941.18
2023-03-22,1941.32,1978.8,1934.45,1965.71
2023-03-23,1965.665,2003.36,1965.665,1992.03
2023-03-24,1991.95,2003.01,1975.225,1977.78
2023-03-27,1977.78,1980.75,1944.35,1956.52
2023-03-28,1956.69,1975.31,1949.41,1973.7
2023-03-29,1973.6,1974.48,1958.76,1964.52
2023-03-30,1963.73,1984.29,1955.63,1980.31
2023-03-31,1980.55,1987.06,1966.98,1970.8
2023-04-03,1969.17,1990.52,1949.94,1984.565
2023-04-04,1984.32,2025.02,1977.09,2020.665
2023-04-05,2021.06,2032.02,2010.48,2020.84
2023-04-06,2020.97,2021.46,2001.11,2007.465
2023-04-10,1994.47,2009.83,1981.8,1991.35
2023-04-11,1991.28,2007.5,1988.91,2003.62
2023-04-12,2003.2,2027.86,2001.54,2014.94
2023-04-13,2014.52,2048.19,2014.12,2040.15
2023-04-14,2040.49,2047.47,1992.49,2005.45
2023-04-17,2004.1,2015.04,1981.42,1995.16
2023-04-18,1995.24,2011.89,1991.4,2005.28
2023-04-19,2005.03,2008.22,1969.38,1994.79
2023-04-20,1994.56,2012.3,1990.6,2004.82
2023-04-21,2004.39,2005.59,1971.73,1982.78
2023-04-24,1983.01,1990.85,1974.26,1989.1
2023-04-25,1989.06,2003.77,1976.26,1997.13
2023-04-26,1996.27,2008.93,1983.61,1989.46
2023-04-27,1989.82,2003.33,1974.32,1987.85
2023-04-28,1987.71,1995,1976.44,1989.27
2023-05-01,1989.94,2005.95,1977.18,1982.48
2023-05-02,1982.25,2019.39,1978.74,2016.7
2023-05-03,2016.19,2040.405,2008.44,2038.64
2023-05-04,2066.18,2078.925,2030.49,2050.19
2023-05-05,2049.28,2053.01,1999.63,2018
2023-05-08,2016.72,2029.39,2014.45,2021.49
2023-05-09,2021.1,2037.67,2019.64,2034.56
2023-05-10,2034.58,2048.17,2021.66,2030.185
2023-05-11,2029.96,2040.94,2011.45,2015.12
2023-05-12,2015.09,2022.57,2001.2,2011.06
2023-05-15,2008.5,2022.16,2007.58,2016.46
2023-05-16,2016.39,2018.35,1985.58,1988.92
2023-05-17,1988.86,1993.05,1975.19,1981.57
2023-05-18,1981.69,1986.01,1952.04,1957.53
