Date,Open,High,Low,Close,Volume
2024-02-12,0.525152,0.538151,0.5143,0.531434,311679234.2966
2024-02-13,0.531434,0.533992,0.514287,0.526105,304152939.63151
2024-02-14,0.52621,0.542293,0.520628,0.539601,347880418.44621
2024-02-15,0.539701,0.57719,0.537467,0.561388,692708139.81336
2024-02-16,0.561288,0.57954,0.552631,0.565435,511850793.93623
2024-02-17,0.565035,0.566273,0.539827,0.550421,231598097.78424
2024-02-18,0.550521,0.562618,0.54727,0.560162,152322233.25592
2024-02-19,0.560367,0.567906,0.554467,0.566036,309467855.40245
2024-02-20,0.566136,0.574894,0.544125,0.564507,569670505.13162
2024-02-21,0.564507,0.566913,0.532775,0.5477,401762434.12947
2024-02-22,0.5476,0.551478,0.536294,0.543426,315205623.01019
2024-02-23,0.543526,0.544026,0.525395,0.534025,293400161.72883
2024-02-24,0.534031,0.547885,0.530426,0.5456,142277695.10698
2024-02-25,0.545595,0.548805,0.541978,0.544273,125076709.34604
2024-02-26,0.544173,0.553076,0.5287,0.550358,314378654.88156
2024-02-27,0.550157,0.597239,0.547978,0.586935,744003702.30084
2024-02-28,0.586935,0.606433,0.5308,0.573301,995733383.21793
2024-02-29,0.573201,0.623918,0.567984,0.584545,1320925210.9179
2024-03-01,0.584645,0.603658,0.583228,0.601062,512898632.7366
2024-03-02,0.601163,0.650945,0.599844,0.636023,1010308619.049
2024-03-03,0.636023,0.645339,0.590578,0.628783,630382414.67125
2024-03-04,0.628983,0.666093,0.615346,0.652217,1104044830.5431
2024-03-05,0.652217,0.66963,0.543309,0.589406,1423786190.4834
2024-03-06,0.589406,0.623975,0.576066,0.610936,828528622.43746
2024-03-07,0.610905,0.64021,0.606803,0.632403,702607778.57265
2024-03-08,0.632403,0.634624,0.602882,0.619919,554356831.33674
2024-03-09,0.619712,0.633616,0.617099,0.623013,337548292.89004
2024-03-10,0.623006,0.628817,0.597549,0.600976,316032102.37496
2024-03-11,0.600876,0.744804,0.585023,0.725645,2111529566.4679
2024-03-12,0.725845,0.733176,0.663466,0.687248,1126027447.7206
2024-03-13,0.687248,0.70276,0.670662,0.686336,501390899.7278
2024-03-14,0.686243,0.707605,0.641089,0.669066,578543706.30748
2024-03-15,0.668859,0.675449,0.595726,0.633157,882993014.47728
2024-03-16,0.632957,0.647026,0.59713,0.605842,510620124.32358
2024-03-17,0.605543,0.624463,0.586542,0.619565,463432442.7311
2024-03-18,0.619665,0.645529,0.594605,0.632562,581729432.61646
2024-03-19,0.633262,0.6683,0.571488,0.585784,921779620.77245
2024-03-20,0.585478,0.618855,0.568909,0.612888,546167897.00561
